Fund,Database,2014,2015,2016,2017,2018
Arts and Humanities,Grove Music Online,"$2,190","$2,283.00","$3,562.50","$2,467.50",NA
Arts and Humanities,IPA Source,$189,$400.00,$400.00,$420.00,NA
Arts and Humanities,Literary Reference Center,"$7,539","$6,902.00","$7,178.08","$7,465.20",NA
Arts and Humanities,MLA International Bibliography,"$4,508","$4,733.55","$4,970.23","$5,169.03",NA
Arts and Humanities,Music Online: Reference,$783,$739.20,$830.59,$872.12,NA
Arts and Humanities,Naxos Music Library,$850,"$1,093.75",$750.00,$925.00,NA
Arts and Humanities,ProQuest Historical Newspapers: Chicago Defender,"$2,895","$3,045.00","$3,136.00","$3,230.00",NA
Arts and Humanities,RILM Abstracts of Music Literature (1967 to Present only),"$2,484","$2,658.30","$2,844.38","$2,986.59",NA
Business,Business Source Complete,"$14,468.00","$15,046.72","$15,648.59","$16,274.53",NA
Business,Business Source Elite,$0.00,$0.00,$0.00,$0.00,NA
Business,Foundation Directory Online,"$3,497.50","$6,245.00","$10,620.00","$7,995.00",NA
Business,Hoover's Online,"$2,325.00","$2,325.00","$2,325.00","$2,325.00",NA
Business,Morningstar Investment Research Center,"$4,500.00","$5,152.19","$5,306.76","$5,467.00",NA
Education,Education Research Complete,"$5,615","$5,839.93","$6,073.53","$6,316.47",NA
General,Academic Search Complete,$0.00,$0.00,$0.00,$0.00,NA
General,Academic Search Premier,$0.00,$0.00,$0.00,$0.00,NA
General,Chicago Manual of Style Online,$250.00,$250.00,$250.00,$250.00,NA
General,Chronicle of Higher Education,$668.00,$694.00,$722.50,"$1,125.00",NA
General,Chronicle of Philanthropy,$750.00,$800.00,$824.00,$865.20,NA
General,Films On Demand Humanities & Social Sciences Video Collection,NA,"$5,835.20","$6,010.26","$6,010.26",NA
General,Humanities Ebook,$850.50,$875.00,$875.00,$810.00,NA
General,JSTOR,"$6,000.00","$13,414.44","$12,050.00","$12,050.00",NA
General,LexisNexis Academic,"$4,784.00","$4,809.84","$5,006.00","$5,154.30",NA
General,Oxford English Dictionary,$324.00,$331.29,$350.56,$541.57,NA
General,Policy Map,NA,"$4,000.00","$3,000.00","$3,000.00",NA
General,Project MUSE,"$10,998.00","$11,322.00","$11,700.00","$6,683.68",NA
General,SAGE Journals,"$36,291.00","$37,886.78","$39,494.37","$42,734.45",NA
Health Science,CINAHL,"$2,118","$2,202.48",NA,NA,NA
Health Science,CINAHL Complete,NA,NA,"$7,616.01","$7,920.65",NA
Health Science,Cochrane Central Register of Controlled Trials,NA,$0.00,$0.00,$0.00,NA
Health Science,Cochrane Database of Systematic Reviews,"$3,193","$3,587.96","$3,803.24","$4,031.43",NA
Health Science,Cochrane Methodology Register,NA,$0.00,$0.00,$0.00,NA
Health Science,Health Business Elite,NA,NA,NA,"$1,605.00",NA
Health Science,LWW Nursing & Health Professions Premier Collection,"$15,569","$16,815.00","$17,908.00","$18,803.00",NA
Health Science,MEDLINE,"$1,432","$1,547.73",NA,NA,NA
Health Science,MEDLINE Complete,NA,NA,NA,"$9,221.34",NA
Health Science,MEDLINE with Full Text,NA,NA,"$4,519.86",NA,NA
Health Science,Nursing Reference Center,"$6,095","$6,400.00","$7,490.00","$8,014.00",NA
Health Science,STAT!Ref Online Resource,"$9,185","$6,026.00","$6,394.00","$1,743.00",NA
Health Science,UpToDate,NA,"$10,550.00","$10,775.00","$11,350.00",NA
Science,Acland Anatomy,"$4,349.00","$4,672.00","$4,349.00","$4,566.00",NA
Science,Environment Complete,"$3,843.00","$3,996.24","$4,156.09","$4,322.33",NA
Science,IOP Science,"$2,753.00","$3,200.00","$2,898.00","$3,000.00",NA
Science,Journal of Chemical Education,NA,NA,NA,$582.00,NA
Science,Science Direct,"$13,596.46","$14,412.50","$16,550.35","$17,534.37",NA
Science,SciFinder Scholar,"$2,990.00","$3,050.00","$3,394.17","$3,250.00",NA
Seminary,ATLA Religion Database with ATLASerials,"$5,663","$5,889.07","$6,124.63","$6,492.10",NA
Seminary,New Testament Abstracts,"$1,510","$1,421.38","$1,478.24","$1,537.36","$1,598.85"
Seminary,Old Testament Abstracts,"$1,505","$1,421.38","$1,478.24","$1,537.36","$1,598.85"
Social Science,Communication & Mass Media Complete,"$4,264","$4,434.93","$4,612.33","$4,796.82",NA
Social Science,PsycARTICLES,"$4,050","$4,294.95","$4,400.00","$4,664.00",NA
Social Science,PsycINFO,"$3,234","$3,632.14","$3,740.00","$3,927.00",NA
Social Science,SocINDEX with Full Text,NA,NA,"$5,755.98","$5,986.21",NA
